gene,logFC,P.Value
375248,1.495596667,0.000754856
83591,-1.051351667,0.000755421
644192,1.704633333,0.000759213
4776,1.252568333,0.000761734
666,-1.194273333,0.000762992
22902,1.011683333,0.000773174
55283,2.69662,0.000773236
284106,-0.851253333,0.000774004
1318,-1.423355,0.000784447
10060,1.217253333,0.000789958
100820829,1.26666,0.000790323
624,1.6531,0.000795486
28974,-1.215245,0.000797517
8321,-1.782776667,0.000803327
1645,2.363895,0.000804653
687,1.643268333,0.000805061
5829,0.856245,0.000814493
121512,1.1715,0.000818354
274,0.942886667,0.000831496
55680,1.702906667,0.000839548
9495,-0.591951667,0.000842901
58480,1.987808333,0.000850419
91694,1.13026,0.000852633
56963,1.636316667,0.000854522
6080 /// 8420,-0.881136667,0.000858375
549,0.78741,0.000859165
5169,1.125705,0.000866882
65059,1.251733333,0.000867941
23461,1.290856667,0.000871692
5287,1.451108333,0.000880564
79726,0.887653333,0.000887042
54810,1.580125,0.00089429
22866,1.681126667,0.000895449
100507311,2.53315,0.00090906
10699,-3.019421667,0.000910482
7737,-0.878318333,0.000911145
4148,-3.273195,0.000914446
7168,-1.109948333,0.000915137
26249,1.203481667,0.000921783
22846,-1.157385,0.000928144
5831,-0.804608333,0.00093097
140766,-1.025895,0.000946404
100507560,1.195983333,0.000949023
9450,-1.981241667,0.000959307
117,2.069791667,0.000970699
10897,-0.973835,0.000976413
55293,-0.847451667,0.000981405
57491,0.877406667,0.000990361
1652 /// 100037417,-0.84951,0.000990889
55930,2.008203333,0.00099349
79605,-0.902613333,0.0009956
23474,-0.858668333,0.001002758
11257,-1.009365,0.001007672
5686,-0.913043333,0.001008012
83875,1.464911667,0.001008091
2922,-3.218065,0.001009436
5737,2.238135,0.001022624
79709,-0.75499,0.001032037
84798 /// 692204,-0.700806667,0.001036354
84680,1.146928333,0.00103833
64651,1.115358333,0.00104249
51129,1.221606667,0.001043259
23286,-1.277953333,0.001045659
2040,0.827866667,0.001047522
152273,1.63873,0.001047953
2353,2.289955,0.001048814
4643,-1.248868333,0.001055421
84662,-1.591738333,0.001067026
84913,1.412898333,0.001071505
29945,0.83684,0.001080072
55904,0.7499,0.00108032
10082,-2.67705,0.00108434
257364,0.715113333,0.001090923
7026,1.287685,0.001099799
401320 /// 101928623,1.161998333,0.001103179
2787,-1.251661667,0.001105539
84624,-3.215255,0.001110277
391267,1.430131667,0.001114677
9319,-0.826528333,0.001115494
3235,1.294733333,0.001141195
11076,1.46648,0.001147262
23057,1.88135,0.00115076
25909,1.177545,0.001166547
741,-0.78423,0.001181915
4660,1.118173333,0.001184891
100128731,-1.43518,0.001185179
10058,0.788238333,0.001186867
164284,-0.996215,0.00119128
57235,1.752131667,0.001195756
10398,-1.735025,0.001200622
101927117,1.038723333,0.001211631
9955,-2.051463333,0.001212189
2791,1.26274,0.001214604
64841,-1.165338333,0.001216953
83742,-1.225091667,0.001218131
170689,2.511878333,0.001224752
2215,-1.770011667,0.001225448
116159,2.570916667,0.00122653
55576,1.668266667,0.001236752
54491,-1.313706667,0.001239167
7079,1.154818333,0.001247512
222389,1.56457,0.001248227
51493,-0.719768333,0.001248304
129049,0.914966667,0.00125106
2,1.178428333,0.001252294
79139,-1.073768333,0.00125614
64581,-1.950708333,0.001256769
56159,-1.51418,0.001261557
3984,-0.906451667,0.001263808
197370,-0.788575,0.00126894
79873,-1.161488333,0.001271398
401115,-1.821655,0.00127446
51704,1.962216667,0.001274782
7075,1.91884,0.001302891
9358,-1.777621667,0.001308674
475,-1.28918,0.001309521
140876,1.517581667,0.001312302
163782,-3.354928333,0.001323039
2662,1.575661667,0.001328806
56969,1.66744,0.001336446
55137,1.607745,0.001336768
8322,1.358423333,0.001352671
101928370,0.772118333,0.001362114
100507098,1.608853333,0.001363963
58517,1.229985,0.001372183
4322,-2.901628333,0.001374328
84627,-1.790516667,0.001375884
26073,-0.61605,0.001376361
4653,1.042173333,0.001395153
10622,1.374408333,0.001398442
121355,-0.881833333,0.00140207
51299,1.378433333,0.001405048
6772,-1.929793333,0.001405474
3693,-1.122403333,0.001412505
4642,-2.14662,0.001421778
112597 /// 541471 /// 101930489,-1.344756667,0.001423524
23583,-0.771465,0.00143813
5586,0.936498333,0.001448324
2209 /// 2210 /// 100132417,-2.40117,0.001455699
123920,-1.073421667,0.001457017
84300 /// 100500873,-1.240581667,0.001462035
3460,-0.710656667,0.001462437
2671,-0.715308333,0.001465457
79153,1.289903333,0.001465912
6609,-0.979476667,0.001466231
4738,-0.864723333,0.001471508
574036,-1.389963333,0.001477581
2550,0.682511667,0.00148184
266812,1.741671667,0.001482425
10752,1.413405,0.001496167
344 /// 346 /// 100533990,-0.945463333,0.00149996
4237,-2.227835,0.001510375
1646 /// 101930400,2.317228333,0.001512472
28956,-0.92319,0.001548069
7390,-1.030521667,0.001550329
7089,1.010191667,0.001552327
51596,-0.913856667,0.001555149
22801,-2.628908333,0.001559918
80332,1.31259,0.001561649
90987,0.828265,0.00156331
11226,-1.035091667,0.001568599
54868,-0.547666667,0.001573067
10135,1.745778333,0.001573385
6723,-1.052656667,0.001586984
101928988,0.607266667,0.001587319
1675,2.878326667,0.001591998
7503,0.818043333,0.001603183
80215,-1.146243333,0.001603272
23659,-0.877101667,0.001609571
2121,-1.30346,0.001612504
10003,1.813265,0.001614615
11039,1.194978333,0.001616348
65123,0.597608333,0.001622125
55761,0.623321667,0.001636522
84417,2.305541667,0.001640543
84071,0.99509,0.001646733
1776,1.793181667,0.001651936
9013,0.978325,0.001659695
4008,-1.248131667,0.001660304
5479,-0.886078333,0.001666938
51631 /// 100996928,0.968856667,0.001688025
26577,2.498666667,0.001699719
430,-1.381511667,0.001702899
2210,-2.465848333,0.001709947
50628,0.871375,0.001730462
1942,1.392328333,0.001746418
3099,-1.784453333,0.001751109
11059,1.212628333,0.001753042
286827,-2.653956667,0.001756188
4318,-3.26996,0.001756459
79683,1.08131,0.001761639
79667,1.505356667,0.001776016
101060391,2.206845,0.001776367
5101,1.804395,0.001780036
9645,-1.726818333,0.001780934
2817,-1.583965,0.001787843
4128,1.719998333,0.001794939
2357,-1.302236667,0.00179707
1004,1.396371667,0.001804364
51255,-0.956183333,0.001804787
145581,2.117978333,0.001817562
2114,1.704198333,0.001821796
93035,1.992271667,0.001829278
